10,89.508,87.181,84.0075,86.6825,86.9135
20,91.134,89.2635,86.363,89.0565,89.117
30,92.054,90.3975,87.464,90.259,90.401
40,92.6975,91.2565,87.409,91.1055,91.3665
50,93.2595,91.8965,87.8075,91.844,92.0025
60,93.728,92.4475,87.3485,92.393,92.57
70,94.1445,92.9505,88.6555,92.9445,93.069
80,94.487,93.3175,87.5195,93.3425,93.563
90,94.766,93.682,87.3765,93.549,93.9195
100,95.067,93.9615,87.6475,93.8155,94.168
110,95.304,94.2975,87.3125,94.129,94.436
120,95.483,94.539,88.028,94.346,94.654
130,95.68,94.6555,85.6905,94.571,94.868
140,95.835,94.859,86.366,94.742,95.0865
150,95.9995,95.0415,85.1745,94.9525,95.212
