10,89.0645,86.918,82.0285,86.576,86.757
20,90.84,89.204,83.2485,88.9175,89.1855
30,91.821,90.391,85.1575,90.267,90.419
40,92.487,91.2125,85.275,91.0465,91.2455
50,93.089,91.888,82.446,91.692,91.985
60,93.5575,92.373,81.988,92.2415,92.467
70,93.9655,92.7815,82.533,92.6215,92.975
80,94.312,93.2155,82.0535,92.937,93.3115
90,94.61,93.573,80.464,93.29,93.6385
100,94.8235,93.7475,79.0255,93.491,93.919
110,95.087,93.9805,80.5575,93.8705,94.173
120,95.285,94.2135,79.1125,93.899,94.312
130,95.438,94.3845,78.1255,94.243,94.5045
140,95.6165,94.599,77.361,94.3885,94.654
150,95.7705,94.7155,76.615,94.503,94.7925
