10,90.824,88.7675,87.1245,88.687,88.7595
20,92.3745,90.716,88.5,90.63,90.833
30,93.284,91.802,89.7285,91.8125,91.888
40,93.9665,92.5555,90.1565,92.5925,92.6995
50,94.5165,93.257,90.7565,93.2795,93.404
60,94.976,93.8035,90.769,93.832,93.9295
70,95.348,94.2005,90.861,94.1985,94.355
80,95.641,94.5375,91.267,94.578,94.6565
90,95.8625,94.742,90.8165,94.7455,94.9705
100,96.0705,95.004,91.2385,95.0765,95.1925
110,96.2825,95.194,90.6005,95.2125,95.3665
120,96.452,95.3225,89.5215,95.346,95.555
130,96.584,95.521,88.581,95.523,95.6725
140,96.677,95.657,89.424,95.6785,95.8625
150,96.7995,95.779,88.8455,95.8295,95.9525
