10,90.2185,88.385,86.4675,88.243,88.364
20,91.675,90.2,88.302,90.187,90.183
30,92.421,91.1115,89.2805,91.1955,91.256
40,93.105,91.899,89.183,91.9605,92.0995
50,93.6255,92.518,88.6285,92.621,92.713
60,94.037,93.0425,89.542,93.0465,93.216
70,94.4185,93.459,90.5955,93.5435,93.692
80,94.7615,93.8265,90.2695,93.807,94.0555
90,95.0625,94.131,88.6,94.2215,94.389
100,95.3185,94.4105,87.369,94.539,94.6705
110,95.552,94.6135,88.161,94.735,94.8755
120,95.7315,94.822,88.507,94.913,95.1115
130,95.9065,95.0245,88.2535,95.104,95.331
140,96.0745,95.169,88.0035,95.239,95.412
150,96.227,95.328,87.689,95.368,95.619
