10,89.9495,87.284,84.0985,86.828,86.968
20,91.7405,89.676,86.6185,89.415,89.526
30,92.729,90.914,87.9675,90.8765,90.913
40,93.433,91.873,89.269,91.7195,91.881
50,93.9765,92.4805,89.278,92.4455,92.5115
60,94.445,93.077,89.0275,92.9115,93.0405
70,94.8265,93.4655,88.802,93.2805,93.495
80,95.1415,93.816,88.842,93.6015,93.8885
90,95.414,94.0865,87.851,94.0175,94.15
100,95.661,94.4075,88.113,94.2475,94.4155
110,95.8795,94.563,88.026,94.2965,94.5925
120,96.041,94.8395,88.064,94.5755,94.798
130,96.2155,94.884,88.723,94.707,94.9825
140,96.345,95.117,88.6685,94.8855,95.1475
150,96.4485,95.1875,88.5925,94.819,95.218
