10,89.1425,84.638,77.2845,82.8935,83.348
20,91.0635,87.758,82.3945,86.897,87.081
30,92.133,89.4815,83.22,88.7745,89.052
40,92.927,90.5755,84.339,89.8385,90.1995
50,93.4995,91.3425,85.6715,90.8065,91.0475
60,93.982,92.013,84.6945,91.6215,91.786
70,94.3845,92.3955,84.746,91.7815,92.18
80,94.732,92.7865,85.105,92.234,92.629
90,94.995,93.067,82.9455,92.635,92.934
100,95.2595,93.28,82.7055,92.807,93.124
110,95.418,93.6885,81.4015,93.0245,93.4415
120,95.606,93.8945,80.516,93.374,93.7115
130,95.761,94.0705,80.0615,93.7195,93.895
140,95.909,94.2525,80.282,93.896,94.064
150,96.0435,94.404,79.9895,93.945,94.2585
